,song,analysis_url,track_href,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,global,global_100,global_top,popularity
0,Shape of You,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,0.9309999999999999,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,True,92
1,One Dance,https://api.spotify.com/v1/audio-analysis/12VWzyPDBCc8fqeWCAfNwR,https://api.spotify.com/v1/tracks/12VWzyPDBCc8fqeWCAfNwR,spotify:track:12VWzyPDBCc8fqeWCAfNwR,Drake,0.00902,0.785,173987,0.617,0.00246,1,0.35100000000000003,-5.871,1,0.0522,103.98100000000001,0.382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,True,False,74
2,Closer,https://api.spotify.com/v1/audio-analysis/7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske,spotify:track:7crMiinWx373rNBZBaVske,The Chainsmokers,0.415,0.736,245507,0.541,0.0,8,0.11,-5.597,1,0.0297,94.962,0.662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,True,False,65
3,Lean On (feat. MØ & DJ Snake),https://api.spotify.com/v1/audio-analysis/4vS8VaBwJJV5Ry7UFIQuoo,https://api.spotify.com/v1/tracks/4vS8VaBwJJV5Ry7UFIQuoo,spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,Major Lazer,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.0810000000000004,0,0.0625,98.007,0.27399999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,True,False,20
4,Thinking Out Loud,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,0.474,0.7809999999999999,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,0.591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,87
5,Sorry,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,0.0865,0.605,200787,0.768,0.0,0,0.308,-3.7239999999999998,0,0.0476,100.209,0.414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,76
6,Despacito - Remix,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,0.222,0.63,228827,0.815,0.0,2,0.091,-4.265,1,0.152,88.35700000000001,0.813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True,True,True,81
7,Love Yourself,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,1,0.45299999999999996,102.541,0.545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,True,False,77
8,Don't Let Me Down,https://api.spotify.com/v1/audio-analysis/0w75KG0DuLDi6tdHmEMovD,https://api.spotify.com/v1/tracks/0w75KG0DuLDi6tdHmEMovD,spotify:track:0w75KG0DuLDi6tdHmEMovD,The Chainsmokers,0.19,0.534,208667,0.868,0.00318,11,0.14800000000000002,-5.0569999999999995,1,0.20600000000000002,159.757,0.406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,True,False,61
9,I Took A Pill In Ibiza - Seeb Remix,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,0.034,0.665,197933,0.725,9.17e-06,7,0.0864,-6.587999999999999,0,0.12,101.96,0.703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,True,False,77
