,song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,popularity,mean_timbre1,median_timbre1,std_timbre1,min_timbre1,max_timbre1,range_timbre1,80Percentile_timbre1,mean_timbre2,median_timbre2,std_timbre2,min_timbre2,max_timbre2,range_timbre2,80Percentile_timbre2,mean_timbre3,median_timbre3,std_timbre3,min_timbre3,max_timbre3,range_timbre3,80Percentile_timbre3,mean_timbre4,median_timbre4,std_timbre4,min_timbre4,max_timbre4,range_timbre4,80Percentile_timbre4,mean_timbre5,median_timbre5,std_timbre5,min_timbre5,max_timbre5,range_timbre5,80Percentile_timbre5,mean_timbre6,median_timbre6,std_timbre6,min_timbre6,max_timbre6,range_timbre6,80Percentile_timbre6,mean_timbre7,median_timbre7,std_timbre7,min_timbre7,max_timbre7,range_timbre7,80Percentile_timbre7,mean_timbre8,median_timbre8,std_timbre8,min_timbre8,max_timbre8,range_timbre8,80Percentile_timbre8,mean_timbre9,median_timbre9,std_timbre9,min_timbre9,max_timbre9,range_timbre9,80Percentile_timbre9,mean_timbre10,median_timbre10,std_timbre10,min_timbre10,max_timbre10,range_timbre10,80Percentile_timbre10,mean_timbre11,median_timbre11,std_timbre11,min_timbre11,max_timbre11,range_timbre11,80Percentile_timbre11,mean_timbre12,median_timbre12,std_timbre12,min_timbre12,max_timbre12,range_timbre12,80Percentile_timbre12,lt_100,au_100,se_100,ph_100,ee_100,gt_100,my_100,gb_100,cr_100,ec_100,ar_100,is_100,global_100,uy_100,nl_100,us_100,sk_100,do_100,de_100,hu_100,gr_100,pl_100,cl_100,at_100,tw_100,fr_100,pe_100,mx_100,no_100,sg_100,it_100,sv_100,lv_100,hk_100,es_100,pa_100,lu_100,br_100,ch_100,ie_100,dk_100,fi_100,jp_100,pt_100,ca_100,co_100,nz_100,tr_100,cz_100,hn_100,be_100,id_100,bo_100
0,Shape of You,Ed Sheeran,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,0.931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,51.4162175141243,51.4162175141243,0.0,51.4162175141243,51.4162175141243,0.0,51.4162175141243,0.7890527306967978,1.3615,47.40747501065742,-191.128,223.74,414.86800000000005,36.088600000000035,-0.42535499058380394,0.27699999999999997,34.4146252177572,-144.589,145.197,289.786,27.80880000000001,9.809983992467043,4.7005,57.75239549435072,-304.769,425.55400000000003,730.323,49.66100000000005,32.83406685499059,33.061,24.95570413500812,-31.982,144.874,176.856,54.0592,-8.829206214689265,-12.0895,40.35712338053393,-124.94,132.765,257.705,22.479800000000004,-17.659126177024483,-16.314999999999998,25.378462457176045,-99.7,50.849,150.549,4.184200000000016,-6.344985875706214,-4.6115,28.885733015855173,-121.035,126.21700000000001,247.252,13.560000000000002,-12.314605461393596,-12.6935,16.229792817702407,-70.88600000000001,60.571999999999996,131.458,0.16120000000000198,2.5813775894538606,-0.9525,22.82251234838676,-93.446,94.766,188.21200000000002,21.07760000000001,-15.797377589453864,-12.2795,23.748397562386288,-100.251,57.744,157.995,3.6902000000000115,-3.4118851224105464,-2.479,13.33961126574783,-53.845,37.774,91.619,7.758800000000001,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,One Dance,Drake,0.00902,0.785,173987,0.617,0.00246,1,0.35100000000000003,-5.871,1,0.0522,103.981,0.382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,46.06145683930943,46.06145683930943,0.0,46.06145683930943,46.06145683930943,0.0,46.06145683930943,17.360664010624163,15.815,55.140528183191854,-146.4,212.96900000000002,359.369,55.4158,-32.80576228419655,-24.464000000000002,47.93475933279274,-174.80599999999998,120.05,294.856,3.987200000000001,6.320224435590969,0.675,61.44782283431301,-167.627,204.175,371.80199999999996,52.35620000000002,20.034128818061085,21.53,32.29962149438623,-60.302,112.199,172.50099999999998,48.39600000000001,-42.505994687915006,-38.268,49.13171469816528,-161.171,137.368,298.539,-7.992399999999999,-7.544124833997345,-8.125,23.430393981319963,-81.612,66.14,147.752,13.648800000000005,2.140163346613546,0.812,26.239363967511352,-121.065,92.904,213.96900000000002,23.86040000000001,-2.6611261620185926,-3.069,16.98057954730355,-60.313,46.211000000000006,106.524,12.143400000000007,5.581427622841966,6.07,19.57941392108307,-68.609,80.128,148.737,20.3002,-14.030548472775564,-12.844000000000001,23.53937005091115,-112.977,87.01,199.987,1.6932000000000005,-2.2466507304116865,-2.4419999999999997,15.645131989397216,-44.506,36.626999999999995,81.13300000000002,11.542800000000005,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True
2,Closer,The Chainsmokers,0.415,0.736,245507,0.541,0.0,8,0.11,-5.597,1,0.0297,94.962,0.662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,49.41078054862842,49.41078054862842,0.0,49.41078054862842,49.41078054862842,0.0,49.41078054862842,35.450819201995,46.301,71.1789089459556,-281.075,312.902,593.977,87.6536,-2.3860087281795512,1.8885,40.95531732158103,-143.995,126.147,270.142,29.504200000000008,-3.654360349127181,-7.145,51.10160687561985,-274.154,329.12199999999996,603.2760000000002,26.75520000000001,44.773955112219454,42.64,29.81269028468337,-38.662,141.422,180.084,70.19200000000001,-16.880074812967578,-22.2,31.097512999113988,-98.229,267.881,366.11,0.19080000000000075,-12.741089775561097,-9.456,25.820647514474796,-84.807,66.736,151.543,8.395400000000002,-4.467563591022444,-4.212,25.396780480498595,-149.891,141.591,291.482,12.734800000000007,-9.034274314214462,-9.004000000000003,16.11016190841282,-57.411,92.28200000000001,149.69299999999996,3.9336000000000095,-2.7112718204488773,-3.425,20.500556816923762,-69.452,136.266,205.718,8.980800000000004,-14.316276807980046,-13.277,20.567199327515194,-113.259,104.427,217.68599999999998,0.680200000000001,1.7950723192019953,1.944,13.292210356609091,-37.643,41.531000000000006,79.17399999999999,12.892,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,Lean On (feat. MØ & DJ Snake),Major Lazer,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.0810000000000004,0,0.0625,98.007,0.274,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,50.752320053120854,50.752320053120854,0.0,50.752320053120854,50.752320053120854,0.0,50.752320053120854,80.47475166002656,94.228,62.509153304499065,-202.38099999999997,218.09400000000002,420.475,121.7366,12.532839309428955,12.679,47.6471313446317,-142.69299999999998,181.017,323.7100000000001,43.7554,8.914087649402394,8.635,37.241567250772064,-139.969,112.929,252.898,40.39100000000001,26.915074369189906,26.614,27.23448065376913,-91.553,110.755,202.308,46.2354,-24.55921513944223,-25.774,33.804276407634504,-136.279,93.29299999999999,229.572,-0.1335999999999804,25.223766268260288,28.398000000000003,30.078663242051984,-84.314,105.182,189.496,49.9846,6.320966799468793,7.843999999999999,20.571875018185338,-85.014,80.62100000000001,165.635,22.4328,-14.019247011952189,-10.561,21.82919260618806,-113.741,42.955,156.696,1.1904,0.06561885790172642,-0.35200000000000004,18.204257797768427,-75.56,51.507,127.067,15.3566,-9.005111553784861,-8.949,17.61844005077865,-74.025,49.5,123.525,5.583000000000002,0.4371288180610888,1.104,17.708768952623533,-48.071000000000005,54.298,102.369,16.377000000000002,False,True,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,True,True,True,False,True,False,False
4,Thinking Out Loud,Ed Sheeran,0.474,0.7809999999999999,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,0.591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,46.62613602015114,46.62613602015114,0.0,46.62613602015114,46.62613602015114,0.0,46.62613602015114,5.873881612090679,12.555,55.91007406062501,-148.093,271.635,419.728,50.98460000000002,-17.410629722921914,-14.6825,58.979966128404406,-174.796,148.591,323.387,38.457800000000034,-7.523472292191435,-5.7970000000000015,61.5427263768357,-217.726,197.40400000000002,415.13,39.0274,15.557175062972293,16.021,24.96633777469039,-65.743,114.529,180.27200000000002,36.29980000000001,-1.3586095717884137,-9.698,41.53155923687497,-89.867,139.654,229.521,33.5476,-11.401107052896723,-12.1535,29.63836478167891,-93.56200000000001,72.013,165.575,12.629800000000005,1.334302267002519,1.6465,27.83759907275293,-94.295,141.532,235.827,21.454200000000018,-6.737308564231738,-6.1125,19.919962227634368,-66.971,51.09,118.061,10.88540000000001,-4.042596977329976,-5.3415,21.13038591062121,-74.76899999999999,80.84899999999999,155.618,10.51020000000001,-12.50003904282116,-9.2875,24.922594196094657,-90.895,67.12100000000001,158.016,6.841800000000001,-6.117561712846348,-5.8825,15.538641048742244,-57.848,61.165,119.01299999999999,7.052000000000013,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True
5,Sorry,Justin Bieber,0.0865,0.605,200787,0.768,0.0,0,0.308,-3.724,0,0.0476,100.209,0.414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,50.817085460599344,50.817085460599344,0.0,50.817085460599344,50.817085460599344,0.0,50.817085460599344,11.487678135405107,12.984000000000002,44.414760527203754,-247.287,168.641,415.92800000000005,45.202,5.633457269700334,7.684,53.19516781624485,-180.195,149.437,329.63199999999995,48.762,-1.902102108768036,-3.234,44.45114017779646,-225.488,473.715,699.203,32.839,36.359704772475034,34.968,29.16290230893407,-50.832,125.14200000000001,175.97400000000002,61.481,-34.631713651498345,-33.913000000000004,30.207711349535042,-135.565,97.677,233.242,-11.725999999999999,6.1847769145394,4.625,29.61242821484439,-84.456,82.15899999999999,166.615,32.501999999999995,-2.7514950055493905,-2.006,27.009882591821903,-95.742,95.473,191.215,17.293,-10.408428412874585,-11.315999999999999,16.572396991134948,-63.735,48.071000000000005,111.806,3.542,3.405017758046615,2.44,19.91418819302037,-53.43,82.837,136.267,17.962,-10.822201997780244,-8.866,17.587674018592686,-78.79,36.137,114.927,3.5580000000000003,-9.439328523862377,-9.225,16.537453145317798,-60.512,65.318,125.83,3.949,False,True,False,False,False,False,False,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,False,False,False,False
6,Despacito - Remix,Luis Fonsi,0.222,0.63,228827,0.815,0.0,2,0.091,-4.265,1,0.152,88.35700000000001,0.813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,52.186492639842974,52.186492639842974,0.0,52.186492639842974,52.186492639842974,0.0,52.186492639842974,61.349773307163886,58.998999999999995,42.524894253859095,-56.628,271.444,328.07199999999995,94.6656,18.98434543670265,16.64,44.354927025208674,-139.391,165.78099999999998,305.172,55.136600000000016,10.3715868498528,9.474,46.68568587318304,-310.517,338.92,649.437,46.06540000000001,38.35203631010796,38.580999999999996,33.14458059588315,-63.273,145.399,208.672,66.47380000000001,-10.98961923454367,-16.066,32.77299618138187,-105.238,227.047,332.285,12.8156,-2.65186653581943,-1.367,29.14950458640464,-112.18299999999999,72.90899999999999,185.092,22.9144,5.171817468105988,4.559,28.34505987527152,-104.94200000000001,118.146,223.088,22.4454,-12.128405299313052,-12.687000000000001,17.5974518612062,-69.429,43.398999999999994,112.82799999999999,2.6046000000000253,8.332280667320902,6.835,21.325543703755233,-70.804,83.515,154.31900000000005,25.01860000000001,-16.987450441609422,-14.751,21.672892566803704,-76.281,60.446999999999996,136.72799999999998,-0.4545999999999977,-3.1001403336604514,-2.123,17.924300123560265,-56.202,64.07300000000001,120.275,10.8952,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,Love Yourself,Justin Bieber,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,1,0.453,102.541,0.545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,43.469154043645695,43.469154043645695,0.0,43.469154043645695,43.469154043645695,0.0,43.469154043645695,-19.550594351732997,-30.298000000000002,70.23504581109813,-201.44299999999998,264.024,465.467,21.563000000000024,2.8161540436456995,1.992,49.93676396615467,-125.345,211.86900000000003,337.214,40.58200000000001,-3.469564826700899,-12.07,78.57666382185543,-202.354,363.715,566.069,42.64860000000003,49.646679075738135,49.578,30.657811105013128,-31.47,164.99099999999999,196.46099999999998,75.52300000000002,-4.2775468549422335,-9.35,39.736535510228315,-133.093,135.465,268.558,25.01520000000001,-11.13069319640565,-10.924000000000001,25.814187871160925,-90.52,71.828,162.34799999999998,11.053200000000004,7.908093709884469,6.002999999999999,38.0759506433431,-140.41,150.165,290.575,30.99540000000001,-15.727350449293967,-16.070999999999998,17.793335520251265,-71.166,66.07,137.236,-2.4561999999999964,2.051750962772786,-2.49,27.925062340779835,-69.658,144.523,214.181,21.355600000000017,-17.186136071887034,-14.573,26.520672308434587,-111.791,59.041000000000004,170.832,5.127800000000031,-7.833933247753531,-8.01,16.251347003420438,-49.96,35.361999999999995,85.322,6.5604000000000084,False,True,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,False
8,Don't Let Me Down,The Chainsmokers,0.19,0.534,208667,0.868,0.00318,11,0.14800000000000002,-5.057,1,0.206,159.757,0.406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,50.551856217616574,50.551856217616574,0.0,50.551856217616574,50.551856217616574,0.0,50.551856217616574,38.69969948186528,49.253,64.36027509902057,-207.80700000000002,171.13,378.93699999999995,92.892,16.159024611398962,17.7345,42.31485065801999,-103.461,184.91099999999997,288.372,52.2428,-8.273562176165802,-7.7585,33.75921393567131,-111.889,99.061,210.95,20.300200000000004,18.14034585492228,15.300999999999998,25.220012707103194,-40.265,121.785,162.05,38.53380000000001,-19.95454922279793,-21.659000000000002,25.22235812570173,-98.85700000000001,78.752,177.60899999999995,-0.5705999999999718,-5.944591968911919,-2.7035,30.116560736906532,-103.10799999999999,80.35300000000001,183.46099999999998,18.6942,-1.2522733160621762,-0.87,20.29419722301411,-102.41,90.81,193.22,14.4076,0.4252836787564767,0.991,17.002839347420466,-66.53399999999999,49.527,116.061,13.764000000000001,-2.337387305699482,-1.4135,16.822957375149837,-56.481,42.769,99.25,11.737200000000005,-9.785725388601037,-9.899,15.250764747400279,-51.926,53.58,105.506,3.0048000000000017,2.9197033678756483,2.333,13.325777390978978,-39.538000000000004,56.79600000000001,96.334,13.448600000000004,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False
9,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,0.034,0.665,197933,0.725,9.17e-06,7,0.0864,-6.587999999999999,0,0.12,101.96,0.703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,49.506283428571436,49.506283428571436,0.0,49.506283428571436,49.506283428571436,0.0,49.506283428571436,27.307373714285717,29.12,54.096188514891,-184.533,184.775,369.30800000000005,70.54000000000002,9.710963428571429,6.2170000000000005,37.613725512915465,-115.39,154.38299999999998,269.77299999999997,38.5932,-4.648357714285714,-5.309,38.749460799802996,-116.667,364.89300000000003,481.56,29.36420000000001,15.929915428571427,17.367,33.52209590692157,-67.734,110.98299999999999,178.71699999999996,44.7148,-25.00680914285714,-25.516,30.338449867418397,-132.263,216.61700000000002,348.88,-1.7391999999999823,9.158057142857142,5.912000000000001,33.061635531700794,-92.073,93.98899999999999,186.062,38.7902,-0.2673942857142857,-0.11,24.454235682771586,-104.899,111.148,216.047,17.9044,-14.816722285714285,-14.578,18.42918418786636,-78.19,37.783,115.973,0.12180000000000175,-1.7651725714285715,-0.899,17.56461251536141,-67.077,64.186,131.263,10.817400000000005,-10.63697942857143,-9.961,15.699193204661544,-98.73899999999999,42.865,141.60399999999998,1.6602,3.5793737142857145,4.64,12.366552983120947,-37.739000000000004,47.72,85.459,13.916400000000005,False,True,True,False,False,True,True,True,True,True,True,False,True,True,False,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True
