,song,analysis_url,track_href,uri,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,International,Unknown,electronic,folk,hip hop,house,indie,latino,metal,pop,punk,r&b,rap,rock,popularity,mean_timbre1,median_timbre1,std_timbre1,min_timbre1,max_timbre1,range_timbre1,80Percentile_timbre1,mean_timbre2,median_timbre2,std_timbre2,min_timbre2,max_timbre2,range_timbre2,80Percentile_timbre2,mean_timbre3,median_timbre3,std_timbre3,min_timbre3,max_timbre3,range_timbre3,80Percentile_timbre3,mean_timbre4,median_timbre4,std_timbre4,min_timbre4,max_timbre4,range_timbre4,80Percentile_timbre4,mean_timbre5,median_timbre5,std_timbre5,min_timbre5,max_timbre5,range_timbre5,80Percentile_timbre5,mean_timbre6,median_timbre6,std_timbre6,min_timbre6,max_timbre6,range_timbre6,80Percentile_timbre6,mean_timbre7,median_timbre7,std_timbre7,min_timbre7,max_timbre7,range_timbre7,80Percentile_timbre7,mean_timbre8,median_timbre8,std_timbre8,min_timbre8,max_timbre8,range_timbre8,80Percentile_timbre8,mean_timbre9,median_timbre9,std_timbre9,min_timbre9,max_timbre9,range_timbre9,80Percentile_timbre9,mean_timbre10,median_timbre10,std_timbre10,min_timbre10,max_timbre10,range_timbre10,80Percentile_timbre10,mean_timbre11,median_timbre11,std_timbre11,min_timbre11,max_timbre11,range_timbre11,80Percentile_timbre11,mean_timbre12,median_timbre12,std_timbre12,min_timbre12,max_timbre12,range_timbre12,80Percentile_timbre12,pt_position,au_position,pe_position,us_position,fr_position,lt_position,is_position,lv_position,ph_position,sk_position,sg_position,cl_position,uy_position,lu_position,gb_position,se_position,br_position,hk_position,co_position,do_position,ar_position,pa_position,de_position,gt_position,at_position,ca_position,gr_position,ie_position,hn_position,jp_position,hu_position,pl_position,dk_position,it_position,tw_position,tr_position,mx_position,my_position,sv_position,nl_position,cz_position,py_position,be_position,cr_position,bo_position,no_position,id_position,es_position,fi_position,nz_position,global_position,ee_position,ch_position,ec_position
0,Shape of You,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,0.931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,92,51.4162175141243,52.4405,4.280209671188485,31.061,58.437,27.376,54.76020000000001,0.7890527306967978,1.3615,47.40747501065742,-191.128,223.74,414.86800000000005,36.088600000000035,-0.42535499058380394,0.27699999999999997,34.4146252177572,-144.589,145.197,289.786,27.80880000000001,9.809983992467043,4.7005,57.75239549435072,-304.769,425.55400000000003,730.323,49.66100000000005,32.83406685499059,33.061,24.95570413500812,-31.982,144.874,176.856,54.0592,-8.829206214689265,-12.0895,40.35712338053393,-124.94,132.765,257.705,22.479800000000004,-17.659126177024483,-16.314999999999998,25.378462457176045,-99.7,50.849,150.549,4.184200000000016,-6.344985875706214,-4.6115,28.885733015855173,-121.035,126.21700000000001,247.252,13.560000000000002,-12.314605461393596,-12.6935,16.229792817702407,-70.88600000000001,60.571999999999996,131.458,0.16120000000000198,2.5813775894538606,-0.9525,22.82251234838676,-93.446,94.766,188.21200000000002,21.07760000000001,-15.797377589453864,-12.2795,23.748397562386288,-100.251,57.744,157.995,3.6902000000000115,-3.4118851224105464,-2.479,13.33961126574783,-53.845,37.774,91.619,7.758800000000001,123.95762711864407,,43.81428571428572,,,,,,,,191.2,42.64935064935065,48.048780487804876,,,,,,49.88607594936709,84.76422764227642,44.54054054054054,65.62135922330097,,52.348314606741575,193.625,,,,55.41489361702128,81.51724137931035,120.44,165.76923076923077,,118.04838709677419,,,56.680851063829785,,55.30107526881721,190.36363636363637,181.73333333333332,74.13392857142857,183.2608695652174,42.98701298701299,42.43283582089552,,,66.07692307692308,,,100.38095238095238,,119.32407407407408,52.651685393258425
1,One Dance,https://api.spotify.com/v1/audio-analysis/12VWzyPDBCc8fqeWCAfNwR,https://api.spotify.com/v1/tracks/12VWzyPDBCc8fqeWCAfNwR,spotify:track:12VWzyPDBCc8fqeWCAfNwR,Drake,0.00902,0.785,173987,0.617,0.00246,1,0.35100000000000003,-5.871,1,0.0522,103.981,0.382,0,0,0,0,1,0,0,0,0,0,0,0,0,0,74,46.06145683930943,47.464,6.146014467424767,1.902,54.945,53.043,50.626000000000005,17.360664010624163,15.815,55.140528183191854,-146.4,212.96900000000002,359.369,55.4158,-32.80576228419655,-24.464000000000002,47.93475933279274,-174.80599999999998,120.05,294.856,3.987200000000001,6.320224435590969,0.675,61.44782283431301,-167.627,204.175,371.80199999999996,52.35620000000002,20.034128818061085,21.53,32.29962149438623,-60.302,112.199,172.50099999999998,48.39600000000001,-42.505994687915006,-38.268,49.13171469816528,-161.171,137.368,298.539,-7.992399999999999,-7.544124833997345,-8.125,23.430393981319963,-81.612,66.14,147.752,13.648800000000005,2.140163346613546,0.812,26.239363967511352,-121.065,92.904,213.96900000000002,23.86040000000001,-2.6611261620185926,-3.069,16.98057954730355,-60.313,46.211000000000006,106.524,12.143400000000007,5.581427622841966,6.07,19.57941392108307,-68.609,80.128,148.737,20.3002,-14.030548472775564,-12.844000000000001,23.53937005091115,-112.977,87.01,199.987,1.6932000000000005,-2.2466507304116865,-2.4419999999999997,15.645131989397216,-44.506,36.626999999999995,81.13300000000002,11.542800000000005,81.70967741935483,117.53571428571429,57.91208791208791,135.41935483870967,102.53703703703704,29.0,,46.214285714285715,125.0,30.357142857142858,122.9047619047619,64.32075471698113,75.792,11.0,138.64705882352942,114.24193548387096,98.24475524475524,93.61538461538461,93.04761904761905,79.33082706766918,59.19,79.26190476190476,93.39047619047619,90.24342105263158,104.98780487804878,137.2537313432836,43.84444444444444,127.93617021276596,57.297872340425535,72.375,91.01030927835052,105.7032967032967,132.35294117647058,98.85454545454546,121.66666666666667,83.21100917431193,59.42424242424242,122.03448275862068,61.41414141414141,84.875,91.91803278688525,74.78181818181818,100.68548387096774,88.29166666666667,65.1588785046729,115.35714285714286,115.03225806451613,87.48251748251748,129.234375,144.11111111111111,98.85039370078741,42.0,88.46875,79.8515625
2,Closer,https://api.spotify.com/v1/audio-analysis/7crMiinWx373rNBZBaVske,https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske,spotify:track:7crMiinWx373rNBZBaVske,The Chainsmokers,0.415,0.736,245507,0.541,0.0,8,0.11,-5.597,1,0.0297,94.962,0.662,0,0,0,0,0,1,0,0,0,0,0,0,0,0,65,49.41078054862842,51.3765,7.703578743550008,0.0,60.29600000000001,60.29600000000001,54.3626,35.450819201995,46.301,71.1789089459556,-281.075,312.902,593.977,87.6536,-2.3860087281795512,1.8885,40.95531732158103,-143.995,126.147,270.142,29.504200000000008,-3.654360349127181,-7.145,51.10160687561985,-274.154,329.12199999999996,603.2760000000002,26.75520000000001,44.773955112219454,42.64,29.81269028468337,-38.662,141.422,180.084,70.19200000000001,-16.880074812967578,-22.2,31.097512999113988,-98.229,267.881,366.11,0.19080000000000075,-12.741089775561097,-9.456,25.820647514474796,-84.807,66.736,151.543,8.395400000000002,-4.467563591022444,-4.212,25.396780480498595,-149.891,141.591,291.482,12.734800000000007,-9.034274314214462,-9.004000000000003,16.11016190841282,-57.411,92.28200000000001,149.69299999999996,3.9336000000000095,-2.7112718204488773,-3.425,20.500556816923762,-69.452,136.266,205.718,8.980800000000004,-14.316276807980046,-13.277,20.567199327515194,-113.259,104.427,217.68599999999998,0.680200000000001,1.7950723192019953,1.944,13.292210356609091,-37.643,41.531000000000006,79.17399999999999,12.892,159.0253164556962,,26.391304347826086,,,,,,,,,25.659574468085108,48.26865671641791,,,,,,24.11627906976744,41.445945945945944,39.733333333333334,37.88405797101449,,28.365384615384617,,,,,32.20338983050848,91.5,,,,151.18055555555554,,,33.43333333333333,,31.694915254237287,,,42.130434782608695,,25.106382978723403,28.352941176470587,,,73.6574074074074,,,114.16379310344827,,148.20987654320987,32.95
3,Lean On (feat. MØ & DJ Snake),https://api.spotify.com/v1/audio-analysis/4vS8VaBwJJV5Ry7UFIQuoo,https://api.spotify.com/v1/tracks/4vS8VaBwJJV5Ry7UFIQuoo,spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,Major Lazer,0.00346,0.723,176561,0.809,0.00123,7,0.565,-3.0810000000000004,0,0.0625,98.007,0.274,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,50.752320053120854,52.177,6.787924691686668,0.0,57.93,57.93,54.9042,80.47475166002656,94.228,62.509153304499065,-202.38099999999997,218.09400000000002,420.475,121.7366,12.532839309428955,12.679,47.6471313446317,-142.69299999999998,181.017,323.7100000000001,43.7554,8.914087649402394,8.635,37.241567250772064,-139.969,112.929,252.898,40.39100000000001,26.915074369189906,26.614,27.23448065376913,-91.553,110.755,202.308,46.2354,-24.55921513944223,-25.774,33.804276407634504,-136.279,93.29299999999999,229.572,-0.1335999999999804,25.223766268260288,28.398000000000003,30.078663242051984,-84.314,105.182,189.496,49.9846,6.320966799468793,7.843999999999999,20.571875018185338,-85.014,80.62100000000001,165.635,22.4328,-14.019247011952189,-10.561,21.82919260618806,-113.741,42.955,156.696,1.1904,0.06561885790172642,-0.35200000000000004,18.204257797768427,-75.56,51.507,127.067,15.3566,-9.005111553784861,-8.949,17.61844005077865,-74.025,49.5,123.525,5.583000000000002,0.4371288180610888,1.104,17.708768952623533,-48.071000000000005,54.298,102.369,16.377000000000002,121.37288135593221,,66.53191489361703,,,,,,,,,75.62931034482759,89.29838709677419,,,178.33333333333334,,,97.92517006802721,88.0672268907563,69.78947368421052,78.78333333333333,,94.64900662251655,,,,,62.265306122448976,84.6,136.5818181818182,184.8,,147.57534246575344,149.0,,60.19607843137255,,60.44329896907217,159.4,184.91666666666666,76.57264957264957,173.93333333333334,95.62913907284768,64.3076923076923,,,91.51181102362204,,,121.03809523809524,,136.55555555555554,83.41791044776119
4,Thinking Out Loud,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,spotify:track:34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,0.474,0.7809999999999999,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,0.591,0,0,0,0,0,0,0,0,0,1,0,0,0,0,87,46.62613602015114,48.181000000000004,7.5515768199525475,0.5,57.415,56.915,53.5444,5.873881612090679,12.555,55.91007406062501,-148.093,271.635,419.728,50.98460000000002,-17.410629722921914,-14.6825,58.979966128404406,-174.796,148.591,323.387,38.457800000000034,-7.523472292191435,-5.7970000000000015,61.5427263768357,-217.726,197.40400000000002,415.13,39.0274,15.557175062972293,16.021,24.96633777469039,-65.743,114.529,180.27200000000002,36.29980000000001,-1.3586095717884137,-9.698,41.53155923687497,-89.867,139.654,229.521,33.5476,-11.401107052896723,-12.1535,29.63836478167891,-93.56200000000001,72.013,165.575,12.629800000000005,1.334302267002519,1.6465,27.83759907275293,-94.295,141.532,235.827,21.454200000000018,-6.737308564231738,-6.1125,19.919962227634368,-66.971,51.09,118.061,10.88540000000001,-4.042596977329976,-5.3415,21.13038591062121,-74.76899999999999,80.84899999999999,155.618,10.51020000000001,-12.50003904282116,-9.2875,24.922594196094657,-90.895,67.12100000000001,158.016,6.841800000000001,-6.117561712846348,-5.8825,15.538641048742244,-57.848,61.165,119.01299999999999,7.052000000000013,123.94318181818181,,64.81052631578947,,,,,,,,,78.21487603305785,84.7927927927928,,,,182.92857142857142,,66.41818181818182,76.06666666666666,88.96638655462185,70.26605504587155,117.62307692307692,82.20454545454545,182.79310344827587,,,,51.625,87.61111111111111,114.29411764705883,154.0625,,110.47887323943662,,,81.83720930232558,,56.84848484848485,192.75,170.0,68.68686868686869,189.8,68.35593220338983,59.85227272727273,,,91.0327868852459,,,120.95145631067962,,123.41284403669725,78.45967741935483
5,Sorry,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,0.0865,0.605,200787,0.768,0.0,0,0.308,-3.724,0,0.0476,100.209,0.414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,50.817085460599344,51.736999999999995,4.7881276461291815,0.376,57.731,57.355,54.598,11.487678135405107,12.984000000000002,44.414760527203754,-247.287,168.641,415.92800000000005,45.202,5.633457269700334,7.684,53.19516781624485,-180.195,149.437,329.63199999999995,48.762,-1.902102108768036,-3.234,44.45114017779646,-225.488,473.715,699.203,32.839,36.359704772475034,34.968,29.16290230893407,-50.832,125.14200000000001,175.97400000000002,61.481,-34.631713651498345,-33.913000000000004,30.207711349535042,-135.565,97.677,233.242,-11.725999999999999,6.1847769145394,4.625,29.61242821484439,-84.456,82.15899999999999,166.615,32.501999999999995,-2.7514950055493905,-2.006,27.009882591821903,-95.742,95.473,191.215,17.293,-10.408428412874585,-11.315999999999999,16.572396991134948,-63.735,48.071000000000005,111.806,3.542,3.405017758046615,2.44,19.91418819302037,-53.43,82.837,136.267,17.962,-10.822201997780244,-8.866,17.587674018592686,-78.79,36.137,114.927,3.5580000000000003,-9.439328523862377,-9.225,16.537453145317798,-60.512,65.318,125.83,3.949,109.368,,65.1938775510204,,,,,,,,,113.67333333333333,104.84496124031008,,,,,,70.62727272727273,106.075,100.03472222222223,90.76296296296296,,105.66666666666667,,,,,71.14444444444445,,,,,,,,82.56818181818181,,64.79761904761905,,,72.24285714285715,,94.19594594594595,61.8433734939759,,,102.9274193548387,,,142.95714285714286,,165.71698113207546,76.14516129032258
6,Despacito - Remix,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,spotify:track:6rPO02ozF3bM7NnOV4h6s2,Luis Fonsi,0.222,0.63,228827,0.815,0.0,2,0.091,-4.265,1,0.152,88.35700000000001,0.813,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,52.186492639842974,52.891000000000005,4.091721545005167,17.292,58.592,41.3,55.16199999999999,61.349773307163886,58.998999999999995,42.524894253859095,-56.628,271.444,328.07199999999995,94.6656,18.98434543670265,16.64,44.354927025208674,-139.391,165.78099999999998,305.172,55.136600000000016,10.3715868498528,9.474,46.68568587318304,-310.517,338.92,649.437,46.06540000000001,38.35203631010796,38.580999999999996,33.14458059588315,-63.273,145.399,208.672,66.47380000000001,-10.98961923454367,-16.066,32.77299618138187,-105.238,227.047,332.285,12.8156,-2.65186653581943,-1.367,29.14950458640464,-112.18299999999999,72.90899999999999,185.092,22.9144,5.171817468105988,4.559,28.34505987527152,-104.94200000000001,118.146,223.088,22.4454,-12.128405299313052,-12.687000000000001,17.5974518612062,-69.429,43.398999999999994,112.82799999999999,2.6046000000000253,8.332280667320902,6.835,21.325543703755233,-70.804,83.515,154.31900000000005,25.01860000000001,-16.987450441609422,-14.751,21.672892566803704,-76.281,60.446999999999996,136.72799999999998,-0.4545999999999977,-3.1001403336604514,-2.123,17.924300123560265,-56.202,64.07300000000001,120.275,10.8952,,,46.84126984126984,,,,,,,,,71.00943396226415,106.75221238938053,,,,,,82.38775510204081,84.12087912087912,79.68571428571428,74.0,,82.48672566371681,,,,,62.78378378378378,,,,,,,,65.64367816091954,,58.333333333333336,,,95.27659574468085,,104.73134328358209,55.44444444444444,,,93.18446601941747,,,129.31764705882352,,,61.36363636363637
7,Love Yourself,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,spotify:track:50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,1,0.453,102.541,0.545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,43.469154043645695,45.318999999999996,7.522116761555445,0.0,54.815,54.815,48.9132,-19.550594351732997,-30.298000000000002,70.23504581109813,-201.44299999999998,264.024,465.467,21.563000000000024,2.8161540436456995,1.992,49.93676396615467,-125.345,211.86900000000003,337.214,40.58200000000001,-3.469564826700899,-12.07,78.57666382185543,-202.354,363.715,566.069,42.64860000000003,49.646679075738135,49.578,30.657811105013128,-31.47,164.99099999999999,196.46099999999998,75.52300000000002,-4.2775468549422335,-9.35,39.736535510228315,-133.093,135.465,268.558,25.01520000000001,-11.13069319640565,-10.924000000000001,25.814187871160925,-90.52,71.828,162.34799999999998,11.053200000000004,7.908093709884469,6.002999999999999,38.0759506433431,-140.41,150.165,290.575,30.99540000000001,-15.727350449293967,-16.070999999999998,17.793335520251265,-71.166,66.07,137.236,-2.4561999999999964,2.051750962772786,-2.49,27.925062340779835,-69.658,144.523,214.181,21.355600000000017,-17.186136071887034,-14.573,26.520672308434587,-111.791,59.041000000000004,170.832,5.127800000000031,-7.833933247753531,-8.01,16.251347003420438,-49.96,35.361999999999995,85.322,6.5604000000000084,189.11111111111111,,45.52238805970149,,,,,,,,,70.40566037735849,88.16521739130435,,,,,,56.36986301369863,92.6923076923077,65.98989898989899,84.22131147540983,,83.24528301886792,,,,,73.27142857142857,,,,,,,,105.93076923076923,,70.55555555555556,,,81.44444444444444,,79.93939393939394,68.35051546391753,,,108.0,,,163.7826086956522,,,55.96153846153846
8,Don't Let Me Down,https://api.spotify.com/v1/audio-analysis/0w75KG0DuLDi6tdHmEMovD,https://api.spotify.com/v1/tracks/0w75KG0DuLDi6tdHmEMovD,spotify:track:0w75KG0DuLDi6tdHmEMovD,The Chainsmokers,0.19,0.534,208667,0.868,0.00318,11,0.14800000000000002,-5.057,1,0.206,159.757,0.406,0,0,0,0,0,1,0,0,0,0,0,0,0,0,61,50.551856217616574,51.8355,6.201658661744273,0.0,58.817,58.817,54.4768,38.69969948186528,49.253,64.36027509902057,-207.80700000000002,171.13,378.93699999999995,92.892,16.159024611398962,17.7345,42.31485065801999,-103.461,184.91099999999997,288.372,52.2428,-8.273562176165802,-7.7585,33.75921393567131,-111.889,99.061,210.95,20.300200000000004,18.14034585492228,15.300999999999998,25.220012707103194,-40.265,121.785,162.05,38.53380000000001,-19.95454922279793,-21.659000000000002,25.22235812570173,-98.85700000000001,78.752,177.60899999999995,-0.5705999999999718,-5.944591968911919,-2.7035,30.116560736906532,-103.10799999999999,80.35300000000001,183.46099999999998,18.6942,-1.2522733160621762,-0.87,20.29419722301411,-102.41,90.81,193.22,14.4076,0.4252836787564767,0.991,17.002839347420466,-66.53399999999999,49.527,116.061,13.764000000000001,-2.337387305699482,-1.4135,16.822957375149837,-56.481,42.769,99.25,11.737200000000005,-9.785725388601037,-9.899,15.250764747400279,-51.926,53.58,105.506,3.0048000000000017,2.9197033678756483,2.333,13.325777390978978,-39.538000000000004,56.79600000000001,96.334,13.448600000000004,156.79710144927537,,45.320754716981135,,,,,,,,,80.54954954954955,55.7906976744186,,,,,,58.09756097560975,115.0721649484536,43.76712328767123,63.44086021505376,,51.075,,,,,68.30232558139535,,,,,,,,43.42424242424242,,73.51724137931035,,,78.74736842105263,,63.009803921568626,37.92307692307692,,,92.45185185185186,,,145.30769230769232,,,43.42253521126761
9,I Took A Pill In Ibiza - Seeb Remix,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,Mike Posner,0.034,0.665,197933,0.725,9.17e-06,7,0.0864,-6.587999999999999,0,0.12,101.96,0.703,0,0,1,0,0,0,0,0,0,0,0,0,0,0,77,49.506283428571436,50.301,4.006775807298676,0.0,56.185,56.185,52.211000000000006,27.307373714285717,29.12,54.096188514891,-184.533,184.775,369.30800000000005,70.54000000000002,9.710963428571429,6.2170000000000005,37.613725512915465,-115.39,154.38299999999998,269.77299999999997,38.5932,-4.648357714285714,-5.309,38.749460799802996,-116.667,364.89300000000003,481.56,29.36420000000001,15.929915428571427,17.367,33.52209590692157,-67.734,110.98299999999999,178.71699999999996,44.7148,-25.00680914285714,-25.516,30.338449867418397,-132.263,216.61700000000002,348.88,-1.7391999999999823,9.158057142857142,5.912000000000001,33.061635531700794,-92.073,93.98899999999999,186.062,38.7902,-0.2673942857142857,-0.11,24.454235682771586,-104.899,111.148,216.047,17.9044,-14.816722285714285,-14.578,18.42918418786636,-78.19,37.783,115.973,0.12180000000000175,-1.7651725714285715,-0.899,17.56461251536141,-67.077,64.186,131.263,10.817400000000005,-10.63697942857143,-9.961,15.699193204661544,-98.73899999999999,42.865,141.60399999999998,1.6602,3.5793737142857145,4.64,12.366552983120947,-37.739000000000004,47.72,85.459,13.916400000000005,,,97.41666666666667,,,,,,,,,99.83088235294117,90.74380165289256,,,,,,95.96039603960396,85.2183908045977,95.32575757575758,77.65555555555555,,93.36521739130434,,,,,60.96341463414634,,,,,196.33333333333334,,,95.71698113207547,,59.23684210526316,,,72.0609756097561,,96.65486725663717,56.73529411764706,,,100.44186046511628,,,145.56,,195.0,97.15254237288136
