,Unnamed: 0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,song,artist,genre,sv,cr,de,co,dk,at,pa,es,gb,sk,global,nl,br,cl,ec,lt,us,it,be,lu,gr,mx,uy,ca,jp,sg,tr,cz,lv,pe,ch,se,ar,gt,py,pl,ph,nz,fr,fi,hn,ie,do,no,hu,pt,is,bo,au,hk,tw,my,ee
0,0,0.581,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,0.825,233713,0.652,True,0.0,1,0.0931,-3.1830000000000003,0,0.0802,95.977,4,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,audio_features,spotify:track:7qiZfU4dY1lWllzX7mPBI3,0.9309999999999999,92,Shape of You,Ed Sheeran,pop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
1,1,0.00902,https://api.spotify.com/v1/audio-analysis/12VWzyPDBCc8fqeWCAfNwR,0.785,173987,0.617,True,0.00246,1,0.35100000000000003,-5.871,1,0.0522,103.98100000000001,4,https://api.spotify.com/v1/tracks/12VWzyPDBCc8fqeWCAfNwR,audio_features,spotify:track:12VWzyPDBCc8fqeWCAfNwR,0.382,74,One Dance,Drake,hip hop,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2,2,0.415,https://api.spotify.com/v1/audio-analysis/7crMiinWx373rNBZBaVske,0.736,245507,0.541,True,0.0,8,0.11,-5.597,1,0.0297,94.962,4,https://api.spotify.com/v1/tracks/7crMiinWx373rNBZBaVske,audio_features,spotify:track:7crMiinWx373rNBZBaVske,0.662,65,Closer,The Chainsmokers,house,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3,3,0.00346,https://api.spotify.com/v1/audio-analysis/4vS8VaBwJJV5Ry7UFIQuoo,0.723,176561,0.809,True,0.00123,7,0.565,-3.0810000000000004,0,0.0625,98.007,4,https://api.spotify.com/v1/tracks/4vS8VaBwJJV5Ry7UFIQuoo,audio_features,spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,0.27399999999999997,20,Lean On (feat. MØ & DJ Snake),Major Lazer,electronic,True,True,True,True,True,True,False,True,True,False,True,False,True,True,True,False,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False
4,4,0.474,https://api.spotify.com/v1/audio-analysis/34gCuhDGsG4bRPIf9bb02f,0.7809999999999999,281560,0.445,True,0.0,2,0.184,-6.061,1,0.0295,78.998,4,https://api.spotify.com/v1/tracks/34gCuhDGsG4bRPIf9bb02f,audio_features,spotify:track:34gCuhDGsG4bRPIf9bb02f,0.591,87,Thinking Out Loud,Ed Sheeran,pop,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
5,5,0.0865,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,0.605,200787,0.768,True,0.0,0,0.308,-3.7239999999999998,0,0.0476,100.209,4,https://api.spotify.com/v1/tracks/09CtPGIpYB4BrO8qb1RGsF,audio_features,spotify:track:09CtPGIpYB4BrO8qb1RGsF,0.414,76,Sorry,Justin Bieber,pop,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False
6,6,0.222,https://api.spotify.com/v1/audio-analysis/6rPO02ozF3bM7NnOV4h6s2,0.63,228827,0.815,True,0.0,2,0.091,-4.265,1,0.152,88.35700000000001,4,https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2,audio_features,spotify:track:6rPO02ozF3bM7NnOV4h6s2,0.813,81,Despacito - Remix,Luis Fonsi,latino,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
7,7,0.856,https://api.spotify.com/v1/audio-analysis/50kpGaPAhYJ3sGmk6vplg0,0.607,233720,0.376,True,0.0,4,0.285,-9.954,1,0.45299999999999996,102.541,4,https://api.spotify.com/v1/tracks/50kpGaPAhYJ3sGmk6vplg0,audio_features,spotify:track:50kpGaPAhYJ3sGmk6vplg0,0.545,77,Love Yourself,Justin Bieber,pop,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False
8,8,0.19,https://api.spotify.com/v1/audio-analysis/0w75KG0DuLDi6tdHmEMovD,0.534,208667,0.868,True,0.00318,11,0.14800000000000002,-5.0569999999999995,1,0.20600000000000002,159.757,4,https://api.spotify.com/v1/tracks/0w75KG0DuLDi6tdHmEMovD,audio_features,spotify:track:0w75KG0DuLDi6tdHmEMovD,0.406,61,Don't Let Me Down,The Chainsmokers,house,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
9,9,0.034,https://api.spotify.com/v1/audio-analysis/1MtUq6Wp1eQ8PC6BbPCj8P,0.665,197933,0.725,True,9.17e-06,7,0.0864,-6.587999999999999,0,0.12,101.96,4,https://api.spotify.com/v1/tracks/1MtUq6Wp1eQ8PC6BbPCj8P,audio_features,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,0.703,77,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,electronic,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
