,timbre_median_1,timbre_median_2,timbre_median_3,timbre_median_4,timbre_median_5,timbre_median_6,timbre_median_7,timbre_median_8,timbre_median_9,timbre_median_10,timbre_median_11,timbre_median_12
0,52.4405,1.3615,0.277,4.7005,33.061,-12.089500000000001,-16.314999999999998,-4.6114999999999995,-12.6935,-0.9524999999999999,-12.2795,-2.479
1,47.464,15.815,-24.464,0.675,21.53,-38.268,-8.125,0.812,-3.069,6.07,-12.844,-2.442
2,51.3765,46.301,1.8885,-7.145,42.64,-22.2,-9.456,-4.212,-9.004000000000001,-3.425,-13.277000000000001,1.944
3,52.177,94.228,12.679,8.635,26.614,-25.774,28.398,7.844,-10.561,-0.352,-8.949,1.104
4,48.181,12.555,-14.682500000000001,-5.797000000000001,16.021,-9.698,-12.153500000000001,1.6465,-6.1125,-5.3415,-9.2875,-5.8825
5,51.737,12.984,7.684,-3.234,34.968,-33.913,4.625,-2.006,-11.316,2.44,-8.866,-9.225
6,52.891,58.999,16.64,9.474,38.581,-16.066,-1.367,4.559,-12.687,6.835,-14.751,-2.123
7,45.319,-30.298,1.992,-12.07,49.578,-9.35,-10.924,6.003,-16.071,-2.49,-14.573,-8.01
8,51.835499999999996,49.253,17.7345,-7.7585,15.300999999999998,-21.659,-2.7035,-0.87,0.991,-1.4135,-9.899000000000001,2.333
9,50.301,29.12,6.217,-5.309,17.367,-25.516,5.912,-0.11,-14.578,-0.899,-9.961,4.64
10,49.187,9.736,-18.472,-7.94,5.821,-14.062999999999999,1.573,-1.6324999999999998,0.405,5.7204999999999995,-17.216,0.39349999999999996
11,51.096,6.875,7.427,-5.361,16.932,-30.952,20.363,5.774,-16.833,-1.289,-7.98,-3.936
12,47.233,-31.44,-14.628,6.566,41.489,-27.416,-3.145,0.13,-10.089,6.361,-7.44,-3.112
13,50.436,34.086,10.819,0.014,37.849,-33.278,12.504,0.382,-13.404,1.037,-10.386,-6.596
14,51.971000000000004,75.4125,2.6864999999999997,-11.1395,16.0475,-27.85,-14.9795,5.359500000000001,-7.025,-0.6875,-3.4135,7.979
15,43.289,-24.816,-46.261,-25.336,8.617,-23.692,-6.324,-5.653,-12.494,-6.005,-7.775,-0.409
16,48.756,-4.802,-14.617,-9.556,7.736,-23.707,15.708,-1.441,-5.62,1.501,-14.371,0.967
17,49.878,44.765,-39.259,-3.84,27.294,-18.776,-5.331,-5.033,0.976,3.084,-16.54,1.661
18,48.487,79.309,2.389,12.288,11.84,-21.368,6.824,6.583,-8.76,2.617,-13.783,3.261
19,49.796,8.434,-20.205,6.043,18.81,-26.09,5.86,6.715,-8.586,1.481,-11.093,-0.543
20,48.729,24.854,-1.351,-9.16,35.882,-17.348,-1.813,-2.322,-7.718,-2.789,-13.879,-2.428
21,52.275999999999996,58.756,11.408,7.9445,37.1225,-17.5935,0.6325000000000001,4.0920000000000005,-11.3405,3.7649999999999997,-13.978000000000002,0.8205
22,49.687,58.036,0.788,-3.654,-9.899,-12.06,-3.839,3.232,-9.732,1.716,-11.961,-5.628
23,53.0835,50.1155,21.67,-5.9105,28.5125,-30.706000000000003,15.995999999999999,4.3665,-0.6645000000000001,4.452999999999999,-10.739,2.1734999999999998
24,54.604,34.126,6.299,12.103,39.456,-40.3,-1.16,-0.818,-11.706,0.585,-8.341,4.69
25,50.6555,4.4775,17.3185,-12.103000000000002,21.1515,-22.541,10.767,6.737500000000001,-12.2445,-5.643,-8.823,-6.7595
26,51.361,23.727,-11.347,-11.452,24.977,-28.629,5.199,2.374,-4.08,3.534,-11.833,-3.826
27,49.424,-17.749,9.335,-12.593,33.401,-23.029,0.993,1.416,-22.235,-8.07,-9.938,-4.534
28,49.831,17.94,6.116,7.914,48.9165,-28.802999999999997,1.0695000000000001,4.5815,-15.047,-0.3775,-13.7605,-10.521
29,51.912,-9.728,6.08,-23.985,20.587,-14.082,-0.751,-0.497,-4.325,-11.549,-11.909,-2.072
30,50.119,29.451,-6.665,-15.285,29.16,-31.472,4.993,1.655,-5.657,0.587,-11.333,-4.603
31,50.5195,29.9965,-7.429,-4.0805,26.1695,-19.271,5.879,1.1615,-11.0565,-2.6475,-10.701,-14.526
32,51.753,60.98,10.069,-1.214,10.786,-25.678,-4.698,-4.579,-19.586,2.163,-11.242,-5.76
