,uri,popularity
0,spotify:track:7pueb0FHOYlKAJPXhVhwml,61
1,spotify:track:4pLwZjInHj3SimIyN9SnOz,80
2,spotify:track:3qmvK8QARSPkFTuKeIXSbs,26
3,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,84
4,spotify:track:5TRaIECBIfSkeqkKoG6psm,70
5,spotify:track:7hQ0ojbeqicGhw0wdUVeaN,59
6,spotify:track:1p1SbqeipOd4ezKUpxqaz6,68
7,spotify:track:5hslUAKq9I9CG2bAulFkHN,47
8,spotify:track:0bYg9bo50gSsH3LtXe2SQn,67
9,spotify:track:0xWcxp3BFrKSsAgpGtaseK,40
10,spotify:track:4uoumbAMEMaKdtiv763jKz,74
11,spotify:track:27SdWb2rFzO6GWiYDBTD9j,80
12,spotify:track:4ci9l0RShM2KiE5zHIKJHg,52
13,spotify:track:36RTpeIUtwFkfR8w0zqLJ7,41
14,spotify:track:2jyjhRf6DVbMPU5zxagN2h,68
15,spotify:track:1L3NV7VrCiuE8C5QlhdeQL,72
16,spotify:track:1gaK2od5J8GX6KecOaWm4d,63
17,spotify:track:0nApFXPoSanA4n7j563Ind,64
18,spotify:track:13e6f8t7RKXuxZ0JdaaJRG,66
19,spotify:track:0RYXEibxMami3QuT8kn4Iz,17
20,spotify:track:5LXj9Ch3O9ATm1NoHT8GXn,57
21,spotify:track:24se9ixkhE2DG57TIvo3fQ,17
22,spotify:track:5MFzQMkrl1FOOng9tq6R9r,31
23,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,92
24,spotify:track:4fSZ0TgFfg4wMqekZBWMpe,38
25,spotify:track:3EfugazgSddQvzZpkof5I4,77
26,spotify:track:1zayuwd1YLZsYDArkruHdL,67
27,spotify:track:0EhyUkKRh4olNJY0lJ9rhG,67
28,spotify:track:0GOJobsbOSIF99y6CGr5o6,69
29,spotify:track:6M0IsaUX4GNyto4niSegfI,79
30,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,74
31,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,80
32,spotify:track:4okba5wu9mMLXx79DXLKi3,75
33,spotify:track:5k38wzpLb15YgncyWdTZE4,90
34,spotify:track:3agtg0x11wPvLIWkYR39nZ,66
35,spotify:track:4IWAyPf1KMq7JCyGeCjTeH,66
36,spotify:track:6SUocL0caib4mLHe8ZrZzi,76
37,spotify:track:2UwbhMie1EAYuTZ0QXeMwl,77
38,spotify:track:7gHs73wELdeycvS48JfIos,84
39,spotify:track:33XCmHpWcIEeSNBgEDi4Mx,57
40,spotify:track:58HUhieKJoZrOry0XGOOjV,56
41,spotify:track:2LPUvD5DDOO4UYGkWgjI2C,69
42,spotify:track:6tvQzeCPwOytDlBYCIOY0n,89
43,spotify:track:5PQt4MoPK7657MwEgBus9Q,20
44,spotify:track:4xyNG8vZR3g8FnphVkbjRo,72
45,spotify:track:3wdAgmnQwvK9u8YvsWyIjd,62
46,spotify:track:0VhkA3NAwIFfVW4NFCbAOD,64
47,spotify:track:456xBIOmLRoLzCvCzZrWge,72
48,spotify:track:0XLOf9LhyazPX9Ld8jPiUq,77
49,spotify:track:7m9OqQk4RVRkw9JJdeAw96,90
50,spotify:track:7glOi2gCjnWnX5VLXHakGX,6
51,spotify:track:3vgNmjuRDnGLxUFGCLkwpm,61
52,spotify:track:33bnxcjePIkcmNjEFTJX0l,93
53,spotify:track:5hc71nKsUgtwQ3z52KEKQk,74
54,spotify:track:4zHkiH22u64gB8fIK2QjmP,59
55,spotify:track:64v06aMByxJypLo1USwDVw,49
56,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,62
57,spotify:track:2wDjpPW3HZdA9quPPmZAMu,63
58,spotify:track:7zLGHiDWd9T1Rxw4PQCb13,37
59,spotify:track:7eGpQgpepXm1MJ80Zhoipv,60
60,spotify:track:7xSv8lIdJtGMMgsMm2qk94,26
61,spotify:track:4ggbSF8UUSSO0wM5SockJ2,58
