,Position,Track Name,Artist,Streams,URL,rank,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,1,God's Plan,Drake,53416337,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,0,0.0244,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,0.753,198960,0.45399999999999996,2XW4DbS6NddZxRPm5rMCeY,5.6200000000000004e-05,7,0.498,-9.488,1,0.0963,77.17,4,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,audio_features,spotify:track:2XW4DbS6NddZxRPm5rMCeY,0.344
1,2,All The Stars (with SZA),Kendrick Lamar,30168080,https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY,1,0.0548,https://api.spotify.com/v1/audio-analysis/2Imq77E6CEJR5TPUxlJvTY,0.532,232187,0.642,2Imq77E6CEJR5TPUxlJvTY,0.000246,5,0.0991,-4.891,0,0.111,193.016,4,https://api.spotify.com/v1/tracks/2Imq77E6CEJR5TPUxlJvTY,audio_features,spotify:track:2Imq77E6CEJR5TPUxlJvTY,0.536
2,3,Mine,Bazzi,23666856,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M,2,0.013999999999999999,https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M,0.716,133995,0.805,6tHWl8ows5JOZq9Yfaqn3M,3.1e-06,4,0.29100000000000004,-3.839,1,0.0856,142.886,4,https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M,audio_features,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,0.7190000000000001
3,4,Pray For Me (with Kendrick Lamar),The Weeknd,22395543,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x,3,0.0805,https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x,0.728,211440,0.6679999999999999,4ofvoCdXq99vpMZO4Cfp8x,1.49e-05,2,0.102,-5.02,1,0.126,100.537,4,https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x,audio_features,spotify:track:4ofvoCdXq99vpMZO4Cfp8x,0.162
4,5,IDGAF,Dua Lipa,21322467,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,4,0.0433,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,0.836,218173,0.552,76cy1WJvNGJTj78UqeA5zr,0.0,7,0.0773,-5.66,1,0.0851,97.036,4,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,audio_features,spotify:track:76cy1WJvNGJTj78UqeA5zr,0.525
5,6,rockstar,Post Malone,21291755,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX,5,0.11699999999999999,https://api.spotify.com/v1/audio-analysis/2U7Hu2RaNQNRi7izoJyZaX,0.578,218320,0.532,2U7Hu2RaNQNRi7izoJyZaX,8.97e-05,5,0.14300000000000002,-6.636,0,0.066,159.784,4,https://api.spotify.com/v1/tracks/2U7Hu2RaNQNRi7izoJyZaX,audio_features,spotify:track:2U7Hu2RaNQNRi7izoJyZaX,0.12
6,7,Look Alive (feat. Drake),BlocBoy JB,19920253,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,6,0.0010400000000000001,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,0.922,181263,0.581,4qKcDkK6siZ7Jp1Jb4m0aL,5.8599999999999995e-05,10,0.105,-7.495,1,0.27,140.02200000000002,4,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,audio_features,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,0.595
7,8,Havana,Camila Cabello,19736610,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,7,0.184,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,0.765,217307,0.523,1rfofaqEpACxVEHIZBJe6W,3.5600000000000005e-05,2,0.132,-4.333,1,0.03,104.988,4,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,audio_features,spotify:track:1rfofaqEpACxVEHIZBJe6W,0.39399999999999996
8,9,Dura,Daddy Yankee,18068532,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc,8,0.174,https://api.spotify.com/v1/audio-analysis/2j2fIJGh4PMdXt9ULI5Tlc,0.7859999999999999,200480,0.846,2j2fIJGh4PMdXt9ULI5Tlc,0.0,1,0.413,-3.468,1,0.0505,95.005,4,https://api.spotify.com/v1/tracks/2j2fIJGh4PMdXt9ULI5Tlc,audio_features,spotify:track:2j2fIJGh4PMdXt9ULI5Tlc,0.8190000000000001
9,10,FRIENDS,Marshmello,17913457,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,9,0.205,https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G,0.626,202621,0.88,08bNPGLD8AhKpnnERrAc6G,0.0,9,0.128,-2.384,0,0.0504,95.079,4,https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G,audio_features,spotify:track:08bNPGLD8AhKpnnERrAc6G,0.534
