,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.0146,https://api.spotify.com/v1/audio-analysis/0wbnC9AUenxp613TYaJsGK,0.936,255379,0.588,0wbnC9AUenxp613TYaJsGK,0.0,7,0.139,-6.948,0,0.136,124.987,4,https://api.spotify.com/v1/tracks/0wbnC9AUenxp613TYaJsGK,audio_features,spotify:track:0wbnC9AUenxp613TYaJsGK,0.238
1,0.132,https://api.spotify.com/v1/audio-analysis/2vvdTrdryjsl8DmPIMDWZU,0.719,228139,0.842,2vvdTrdryjsl8DmPIMDWZU,0.0,6,0.105,-3.562,0,0.0383,90.017,4,https://api.spotify.com/v1/tracks/2vvdTrdryjsl8DmPIMDWZU,audio_features,spotify:track:2vvdTrdryjsl8DmPIMDWZU,0.534
2,0.149,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,0.88,172800,0.428,7sO5G9EABYOXQKNPNiE9NR,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,audio_features,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.333
3,0.862,https://api.spotify.com/v1/audio-analysis/1T575AhHueYinKSDflEsGK,0.554,191787,0.378,1T575AhHueYinKSDflEsGK,0.0,7,0.0829,-9.168,0,0.0384,199.831,3,https://api.spotify.com/v1/tracks/1T575AhHueYinKSDflEsGK,audio_features,spotify:track:1T575AhHueYinKSDflEsGK,0.284
4,0.0233,https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6,0.845,187521,0.709,2z4pcBLQXF2BXKFvd0BuB6,0.0,10,0.094,-4.547,0,0.0714,98.062,4,https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6,audio_features,spotify:track:2z4pcBLQXF2BXKFvd0BuB6,0.62
5,0.000259,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.904,177000,0.611,7KXjTSCq5nL1LoYtL7XAwS,2.03e-05,1,0.0976,-6.842,0,0.0888,150.02,4,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.4
6,0.779,https://api.spotify.com/v1/audio-analysis/1bhUWB0zJMIKr9yVPrkEuI,0.587,259550,0.299,1bhUWB0zJMIKr9yVPrkEuI,0.0,8,0.123,-7.365,1,0.0263,94.992,3,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI,audio_features,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,0.356
7,0.435,https://api.spotify.com/v1/audio-analysis/0OlnLZY4cmQzT6ZGttvWBM,0.526,183637,0.52,0OlnLZY4cmQzT6ZGttvWBM,0.0,6,0.197,-7.985,0,0.0569,149.119,4,https://api.spotify.com/v1/tracks/0OlnLZY4cmQzT6ZGttvWBM,audio_features,spotify:track:0OlnLZY4cmQzT6ZGttvWBM,0.13
8,0.199,https://api.spotify.com/v1/audio-analysis/5Z3GHaZ6ec9bsiI5BenrbY,0.798,202547,0.539,5Z3GHaZ6ec9bsiI5BenrbY,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY,audio_features,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,0.394
9,0.29,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,0.798,213400,0.582,6PGoSes0D9eUDeeAafB2As,0.0,10,0.153,-7.38,1,0.103,126.075,4,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,0.766
