Category: Arts & Entertainment

Country,french music: (3/11/17 - 3/11/18)
South Africa,100
Kenya,49
Canada,47
Ireland,44
United Kingdom,38
France,34
Denmark,34
New Zealand,33
Netherlands,31
United States,30
Australia,29
Romania,28
Hungary,28
Morocco,27
Portugal,24
Bulgaria,23
Norway,23
Sweden,23
Czechia,19
Greece,19
Germany,14
Poland,11
Italy,8
Spain,7
Turkey,6
Mexico,4
India,3
Japan,3
Brazil,2
Thailand,2
Ethiopia,
Rwanda,
Namibia,
Mauritius,
Cameroon,
Albania,
Slovenia,
Trinidad & Tobago,
Latvia,
Estonia,
Lithuania,
Georgia,
Switzerland,
Nigeria,
Cyprus,
Belgium,
Macedonia (FYROM),
Slovakia,
Finland,
Croatia,
Lebanon,
Serbia,
United Arab Emirates,
Austria,
Armenia,
Israel,
Qatar,
Hong Kong,
Azerbaijan,
Tunisia,
Bosnia & Herzegovina,
Singapore,
Jordan,
Algeria,
Philippines,
Cambodia,
Kuwait,
Egypt,
Bangladesh,
Pakistan,
Malaysia,
Chile,
Saudi Arabia,
Taiwan,
Ukraine,
Venezuela,
Peru,
Colombia,
Argentina,
Indonesia,
Kazakhstan,
Russia,
Ecuador,
Iraq,
Vietnam,
South Korea,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iceland,
Jamaica,
Jersey,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
