Category: Arts & Entertainment

Country,german music: (3/11/17 - 3/11/18)
Germany,100
Austria,82
Switzerland,65
Denmark,47
Australia,33
Canada,33
South Africa,30
Sweden,30
Finland,29
United States,29
United Kingdom,29
Norway,25
Ireland,22
Netherlands,22
New Zealand,21
Romania,20
Poland,14
Belgium,14
Singapore,11
Spain,7
Philippines,6
France,6
Italy,6
Malaysia,5
Turkey,5
Mexico,4
Brazil,2
India,2
Russia,2
Namibia,
Slovenia,
Estonia,
Albania,
Hungary,
Lithuania,
Czechia,
Croatia,
Serbia,
Slovakia,
Latvia,
Macedonia (FYROM),
Georgia,
Bulgaria,
Azerbaijan,
Kenya,
Greece,
Portugal,
Lebanon,
Hong Kong,
Bosnia & Herzegovina,
Costa Rica,
Israel,
United Arab Emirates,
Morocco,
Tunisia,
Nepal,
Jordan,
Chile,
Venezuela,
Bangladesh,
Ukraine,
Egypt,
Argentina,
Algeria,
Pakistan,
Colombia,
Ecuador,
Peru,
Saudi Arabia,
Indonesia,
Thailand,
South Korea,
Japan,
Vietnam,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Kazakhstan,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
