Category: All categories

Country,hip hop: (3/11/17 - 3/11/18)
Zimbabwe,100
South Africa,74
Trinidad & Tobago,73
Zambia,62
Mozambique,61
Jamaica,55
Ghana,42
Kenya,38
Tanzania,36
Nigeria,32
Sri Lanka,31
United States,30
Indonesia,23
Canada,17
New Zealand,16
Bolivia,15
Australia,14
United Kingdom,13
India,13
Portugal,12
Switzerland,12
Slovakia,12
Germany,12
Philippines,11
Ecuador,11
Brazil,11
Norway,10
Denmark,10
Poland,10
Czechia,9
Bangladesh,9
Peru,9
Sweden,9
Chile,9
France,9
Austria,9
Colombia,8
Netherlands,8
Ireland,8
Italy,8
Singapore,7
Mexico,7
Belgium,7
United Arab Emirates,7
Malaysia,7
Greece,7
Hungary,6
Romania,6
Spain,6
Pakistan,5
Argentina,5
Algeria,5
Finland,5
Vietnam,5
Venezuela,3
Taiwan,3
Thailand,2
Iran,2
Turkey,2
Ukraine,1
Russia,1
Japan,1
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Egypt,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iraq,
Iceland,
Israel,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macau,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nepal,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tunisia,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
