Category: Arts & Entertainment

City,hip hop: (3/11/17 - 3/11/18)
Charlotte,100
Detroit,97
Philadelphia,95
Atlanta,88
Hyattsville,84
Hialeah,79
New York,76
Chicago,73
Los Angeles,72
Paradise,70
Plano,67
Houston,65
San Antonio,64
Larkspur,62
Chennai,59
Berlin,52
London,47
Melbourne,45
Sydney,44
Rio de Janeiro,43
Paris,35
Warsaw,34
Santiago,33
Bogotá,33
Quezon City,33
Diadema,23
Surabaya,22
San Juan de Lurigancho,21
Mexico City,21
Jakarta,21
Bengaluru,20
Mumbai,20
New Delhi,18
Pune,16
Hyderabad,12
Bangkok,7
Altamonte Springs,
