Category: Arts & Entertainment

Country,hip hop: (3/11/17 - 3/11/18)
Kenya,100
Jamaica,99
South Africa,74
Trinidad & Tobago,69
New Zealand,45
United States,44
Switzerland,42
Canada,35
Germany,34
Sri Lanka,32
Australia,32
Portugal,30
Slovakia,28
Austria,26
Costa Rica,25
Greece,25
United Kingdom,24
Czechia,24
Belgium,24
Chile,22
Norway,22
Philippines,22
Bulgaria,22
Poland,22
France,21
Italy,21
Hungary,21
Paraguay,21
Tunisia,21
Netherlands,20
El Salvador,20
Denmark,20
Romania,20
Ecuador,19
Spain,19
Sweden,19
Cambodia,19
Nepal,19
Ireland,18
Brazil,18
Bolivia,18
Colombia,18
Indonesia,17
Mexico,17
Panama,16
Dominican Republic,16
Guatemala,16
Peru,15
Georgia,15
Croatia,15
Singapore,14
India,14
United Arab Emirates,14
Finland,13
Uruguay,13
Argentina,13
Bangladesh,12
Israel,12
Hong Kong,12
Venezuela,11
Malaysia,11
Serbia,10
Morocco,8
Taiwan,8
Algeria,7
Pakistan,5
Thailand,5
Turkey,4
Ukraine,4
Vietnam,4
Saudi Arabia,4
Russia,3
South Korea,3
Japan,3
Egypt,3
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
