Category: Arts & Entertainment

Country,korean music: (3/11/17 - 3/11/18)
Myanmar (Burma),100
Ethiopia,65
Philippines,52
Brunei,51
Singapore,35
Malaysia,30
Nepal,26
Cambodia,20
Sri Lanka,19
Tanzania,18
Hong Kong,18
Nigeria,17
New Zealand,12
Australia,12
Indonesia,12
Canada,11
Morocco,10
United States,9
United Arab Emirates,9
Bangladesh,8
Tunisia,8
Finland,8
Algeria,7
Sweden,7
United Kingdom,7
South Korea,6
Taiwan,6
Belgium,6
South Africa,5
Thailand,5
Kazakhstan,5
India,4
Switzerland,4
Saudi Arabia,4
Austria,4
Netherlands,4
Germany,4
Vietnam,4
Pakistan,3
Poland,3
France,3
Turkey,3
Chile,2
Italy,2
Japan,2
Spain,1
Peru,1
Russia,1
Brazil,1
Mexico,1
Argentina,1
Bhutan,
Mongolia,
Qatar,
Hungary,
Puerto Rico,
Bahrain,
Denmark,
Norway,
Oman,
Armenia,
Georgia,
Bulgaria,
Ireland,
Czechia,
Romania,
Azerbaijan,
Kuwait,
Slovakia,
Greece,
Jordan,
Portugal,
Serbia,
Dominican Republic,
Egypt,
Iraq,
Israel,
Ecuador,
Venezuela,
Ukraine,
Colombia,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Estonia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iceland,
Jamaica,
Jersey,
Kenya,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Montenegro,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nicaragua,
Niue,
Nauru,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
