Category: All categories

Country,latino musica: (3/11/17 - 3/11/18)
Ecuador,100
Peru,86
Venezuela,50
Colombia,48
Mexico,48
Chile,45
Argentina,42
Italy,21
Brazil,14
Spain,10
United States,1
Bolivia,
Mozambique,
Guatemala,
Nicaragua,
Angola,
Paraguay,
El Salvador,
Honduras,
Panama,
Dominican Republic,
Uruguay,
Costa Rica,
Puerto Rico,
Portugal,
Switzerland,
Canada,
France,
Germany,
United Kingdom,
Aruba,
Afghanistan,
Anguilla,
Åland Islands,
Albania,
Andorra,
United Arab Emirates,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Australia,
Austria,
Azerbaijan,
Burundi,
Belgium,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Czechia,
Djibouti,
Dominica,
Denmark,
Algeria,
Egypt,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Finland,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Croatia,
Haiti,
Hungary,
Indonesia,
Isle of Man,
India,
British Indian Ocean Territory,
Ireland,
Iran,
Iraq,
Iceland,
Israel,
Jamaica,
Jersey,
Jordan,
Japan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
South Korea,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macau,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Malaysia,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Niue,
Netherlands,
Norway,
Nepal,
Nauru,
New Zealand,
Oman,
Pakistan,
Pitcairn Islands,
Philippines,
Palau,
Papua New Guinea,
Poland,
North Korea,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
Russia,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
Singapore,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
Serbia,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Sweden,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Thailand,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tunisia,
Turkey,
Tuvalu,
Taiwan,
Tanzania,
Uganda,
Ukraine,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vietnam,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
South Africa,
Zambia,
Zimbabwe,
