Category: Arts & Entertainment

Country,metal music: (3/11/17 - 3/11/18)
Finland,100
Slovakia,87
Czechia,84
Hungary,82
Canada,78
South Africa,77
Greece,74
New Zealand,70
Australia,70
Norway,68
United States,68
Bulgaria,60
Croatia,59
Sweden,58
United Kingdom,57
Switzerland,55
Belgium,54
Serbia,53
Austria,53
Portugal,53
Tunisia,52
France,51
Ireland,50
Poland,45
Denmark,43
Germany,40
Netherlands,38
Bangladesh,35
Singapore,33
Romania,32
Italy,32
Philippines,31
Israel,27
Morocco,24
Malaysia,24
Indonesia,23
Hong Kong,22
Spain,22
Chile,22
United Arab Emirates,19
Mexico,14
Turkey,13
Argentina,12
Peru,11
Venezuela,10
Ukraine,10
Brazil,10
Egypt,9
Colombia,9
India,9
Russia,8
Thailand,7
Saudi Arabia,7
Pakistan,5
Japan,4
South Korea,4
Vietnam,1
Slovenia,
Estonia,
Latvia,
Lithuania,
Puerto Rico,
Nepal,
Qatar,
Georgia,
Bosnia & Herzegovina,
Costa Rica,
Belarus,
Lebanon,
Jordan,
Algeria,
Taiwan,
Ecuador,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
