Category: Arts & Entertainment

Country,pop music: (3/11/17 - 3/11/18)
Estonia,100
Lithuania,94
Trinidad & Tobago,87
South Africa,85
Slovenia,77
Latvia,76
Cyprus,65
Ireland,64
Canada,63
Jamaica,63
Kenya,61
United Kingdom,60
New Zealand,56
United States,53
Czechia,52
Hong Kong,49
Switzerland,49
Australia,47
Philippines,47
Singapore,42
Croatia,42
Slovakia,41
Hungary,40
Greece,38
Finland,38
Belgium,37
Georgia,37
Denmark,36
Bulgaria,36
Armenia,35
Norway,34
Puerto Rico,33
Azerbaijan,32
Portugal,32
Nepal,30
United Arab Emirates,30
Sweden,29
Netherlands,28
Qatar,28
Austria,27
Taiwan,27
Serbia,26
Macedonia (FYROM),26
Germany,25
Tunisia,22
Bosnia & Herzegovina,21
Israel,20
Morocco,17
Romania,17
Italy,17
France,16
El Salvador,16
Costa Rica,16
Poland,15
Malaysia,14
Indonesia,13
Algeria,13
Lebanon,12
Spain,12
Bangladesh,11
Pakistan,11
Turkey,10
Venezuela,10
Dominican Republic,9
Mexico,8
Ukraine,8
Peru,7
Chile,7
Brazil,7
Ecuador,7
Thailand,7
Argentina,7
Saudi Arabia,6
India,6
South Korea,6
Colombia,5
Japan,5
Kazakhstan,5
Egypt,5
Russia,4
Vietnam,4
Iraq,3
Guyana,
Mongolia,
Moldova,
Panama,
Cambodia,
Kuwait,
Jordan,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iceland,
Jersey,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
