Category: Arts & Entertainment

Country,punk music: (3/11/17 - 3/11/18)
South Africa,100
Australia,96
Canada,78
France,78
Ireland,77
United Kingdom,75
Belgium,71
Sweden,58
United States,54
Greece,51
Italy,43
Germany,34
Philippines,34
Netherlands,31
Poland,27
Spain,27
Mexico,22
Argentina,20
Indonesia,20
Morocco,17
Turkey,12
Brazil,9
Russia,6
Japan,6
India,4
Brunei,
Slovakia,
Hungary,
Lithuania,
New Zealand,
Czechia,
Mauritius,
Georgia,
Portugal,
Austria,
Croatia,
Slovenia,
Denmark,
Finland,
Norway,
Serbia,
Switzerland,
Puerto Rico,
Singapore,
El Salvador,
Tunisia,
Romania,
Costa Rica,
Bulgaria,
Guatemala,
Israel,
Chile,
Panama,
Malaysia,
Bolivia,
Bosnia & Herzegovina,
Colombia,
Venezuela,
Algeria,
United Arab Emirates,
Ecuador,
Peru,
Kuwait,
Bangladesh,
Hong Kong,
Ukraine,
South Korea,
Taiwan,
Thailand,
Pakistan,
Egypt,
Saudi Arabia,
Vietnam,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Luxembourg,
Latvia,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nepal,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
