Category: Arts & Entertainment

Country,rap: (3/11/17 - 3/11/18)
Argentina,100
Uruguay,98
France,90
El Salvador,85
Chile,80
Brazil,76
Ecuador,74
Bolivia,73
Peru,72
Spain,70
Paraguay,69
Tunisia,68
Colombia,67
Venezuela,67
Costa Rica,66
Mexico,65
Guatemala,64
Dominican Republic,63
United States,62
Belgium,61
Switzerland,58
Nicaragua,56
New Zealand,56
Portugal,56
Vietnam,54
Canada,53
Sri Lanka,52
Honduras,50
Finland,49
Australia,48
Panama,46
Sweden,45
Morocco,45
Denmark,44
United Kingdom,44
Germany,44
Norway,43
Nepal,41
Austria,39
Ireland,39
Italy,39
Netherlands,38
Algeria,38
South Africa,37
Poland,36
Bulgaria,35
Turkey,35
Slovakia,34
Hungary,32
Czechia,31
Bangladesh,30
Romania,29
Greece,28
Philippines,27
Croatia,26
Singapore,20
Serbia,19
Malaysia,15
United Arab Emirates,15
Israel,13
India,11
Thailand,11
Pakistan,11
Indonesia,10
Taiwan,7
Ukraine,6
Saudi Arabia,5
Russia,5
Egypt,5
South Korea,3
Japan,3
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
Bosnia & Herzegovina,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Djibouti,
Dominica,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Georgia,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
French Guiana,
Guam,
Guyana,
Hong Kong,
Heard & McDonald Islands,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Macedonia (FYROM),
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Niue,
Nauru,
Oman,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Palestine,
French Polynesia,
Qatar,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovenia,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
