Category: Arts & Entertainment

Country,rock music: (3/11/17 - 3/11/18)
Slovenia,100
South Africa,73
Kenya,66
New Zealand,63
Cyprus,58
Philippines,56
Canada,55
Estonia,54
Greece,54
United States,51
Hungary,50
Czechia,47
United Kingdom,47
Slovakia,47
Australia,45
Trinidad & Tobago,44
Lithuania,44
Latvia,44
Switzerland,41
Ireland,40
Croatia,38
Belgium,38
Austria,37
Finland,35
Denmark,33
Norway,31
Bulgaria,31
Macedonia (FYROM),30
Sweden,30
Romania,29
Portugal,29
Netherlands,29
Qatar,29
Germany,28
Singapore,28
Serbia,26
Georgia,26
Poland,25
United Arab Emirates,25
Sri Lanka,24
France,24
Bosnia & Herzegovina,21
Tunisia,21
Hong Kong,21
Nepal,19
Israel,19
Italy,19
Malaysia,18
Indonesia,18
Lebanon,16
Bangladesh,14
Kuwait,14
Spain,14
Costa Rica,13
Morocco,13
Cambodia,12
Ukraine,10
Algeria,9
India,9
Mexico,8
Chile,8
Peru,8
Brazil,8
Argentina,7
Taiwan,7
Saudi Arabia,7
Thailand,7
Venezuela,7
Turkey,7
Pakistan,6
Colombia,6
Ecuador,6
Egypt,5
Japan,4
Russia,4
South Korea,3
Vietnam,2
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bahrain,
Bahamas,
St. Barthélemy,
Belarus,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
China,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Comoros,
Cape Verde,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Djibouti,
Dominica,
Dominican Republic,
Eritrea,
Western Sahara,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Haiti,
Isle of Man,
British Indian Ocean Territory,
Iran,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kyrgyzstan,
Kiribati,
St. Kitts & Nevis,
Laos,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Lesotho,
Luxembourg,
Macau,
St. Martin,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Nauru,
Oman,
Panama,
Pitcairn Islands,
Palau,
Papua New Guinea,
Puerto Rico,
North Korea,
Paraguay,
Palestine,
French Polynesia,
Réunion,
Rwanda,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Swaziland,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
Zambia,
Zimbabwe,
